accession_number;ksmbr_number
accession_number;ksmbr_number
A0A2C9CF22;KSMBR1_1813
A0A2C9CD82;KSMBR1_0167
Q1PYS7;KSMBR1_1285
Q1Q0S2;KSMBR1_3594
Q1Q0S1;KSMBR1_3595
Q1PZ78;KSMBR1_1406
A0A2C9CIX7;KSMBR1_3045
A0A2C9CCF3;KSMBR1_0953
Q1Q0V3;KSMBR1_2725
Q1Q262;KSMBR1_0792
Q1PYH5;KSMBR1_1177
Q1Q2X6;KSMBR1_3472
A0A2C9CKB7;KSMBR1_3647
Q1Q198;KSMBR1_1104
Q1Q0Q1;KSMBR1_0025
A0A2C9CHT4;KSMBR1_2754
A0A2C9CJD6;KSMBR1_3278
A0A2C9CEQ6;KSMBR1_1683
Q1Q0X7;KSMBR1_2755
Q1Q629;KSMBR1_3277
A0A2C9CKX9;KSMBR1_3760
Q1Q0Q0;KSMBR1_0024
A0A2C9CFM3;KSMBR1_2202
Q1PYY8;KSMBR1_1326
A0A2C9CIE3;KSMBR1_2887
A0A2C9CKW7;KSMBR1_3765
Q1PYY9;KSMBR1_1325
A0A2C9CDH8;KSMBR1_1323
Q1Q176;KSMBR1_2839
Q1PYX6;KSMBR1_1320
Q1PYX7;KSMBR1_1319
Q1PYX5;KSMBR1_1321
Q1Q2X0;KSMBR1_3464
A0A2C9CE19;KSMBR1_1515
A0A2C9CG39;KSMBR1_2371
Q1Q1J4;KSMBR1_0996
A0A2C9CCQ2;KSMBR1_0847
Q1Q2Z1;KSMBR1_0080
Q1PY10;KSMBR1_1900
A0A2C9CK88;KSMBR1_3499
Q1PWV1;KSMBR1_2588
Q1Q156;KSMBR1_2825
Q1PUP9;KSMBR1_3208
Q1PYI8;KSMBR1_1172
A0A2C9CKX4;KSMBR1_3827
Q1Q6B2;KSMBR1_3337
Q1Q267;KSMBR1_0797
A0A2C9CJN7;KSMBR1_3380
A0A2C9CKV4;KSMBR1_3828
Q1PX09;KSMBR1_2627
Q1PX06;KSMBR1_2630
Q1PX03;KSMBR1_2632
A0A2C9CJU7;KSMBR1_3716
A0A2C9CKL7;KSMBR1_3722
A0A2C9CK98;KSMBR1_3866
Q1PV65;KSMBR1_2086
A0A2C9CC10;KSMBR1_0599
Q1Q5N2;KSMBR1_3807
A0A2C9CGY3;KSMBR1_2459
Q1Q6M7;KSMBR1_3449
Q1Q1J1;KSMBR1_1005
Q1Q355;KSMBR1_3875
Q1Q338;KSMBR1_3876
Q1PZV6;KSMBR1_1623
A0A2C9CDF7;KSMBR1_1399
A0A2C9CKP1;KSMBR1_2876
A0A2C9CID2;KSMBR1_2877
A0A2C9CHI2;KSMBR1_2878
Q1Q1A9;KSMBR1_1083
A0A2C9CL08;KSMBR1_3805
Q1PZS8;KSMBR1_1596
Q1Q3W3;KSMBR1_3550
A0A2C9CCF8;KSMBR1_0871
A0A2C9CFJ6;KSMBR1_1962
A0A2C9CGE8;KSMBR1_2319
Q1Q2L4;KSMBR1_0661
Q1Q1N0;KSMBR1_0967
Q1Q631;KSMBR1_3276
Q1Q3V0;KSMBR1_3545
Q1Q5S6;KSMBR1_3764
A0A2C9CG73;KSMBR1_2249
A0A2C9CHW3;KSMBR1_2784
A0A2C9CK66;KSMBR1_3639
A0A2C9CE52;KSMBR1_1358
Q1Q0M2;KSMBR1_3640
A0A2C9CDQ9;KSMBR1_1510
Q1Q0Q4;KSMBR1_0015
A0A2C9CHQ6;KSMBR1_2651
A0A2C9CBS9;KSMBR1_0648
A0A2C9CCG1;KSMBR1_0885
Q1PY21;KSMBR1_1906
Q1PXR8;KSMBR1_1817
Q1PV12;KSMBR1_2029
A0A2C9CEX5;KSMBR1_1737
A0A2C9CGZ2;KSMBR1_2380
A0A2C9CI21;KSMBR1_2855
